arg,adidas
aus,nike
bel,adidas
bra,nike
can,nike
cmr,one all sports
crc,new balance
cro,nike
den,hummel
ecu,marathon
eng,nike
esp,adidas
fra,nike
ger,adidas
gha,puma
irn,majid
jpn,adidas
kor,nike
ksa,nike
mar,puma
mex,adidas
ned,nike
pol,nike
por,nike
qat,nike
sen,puma
srb,puma
sui,puma
tun,kappa
uru,puma
usa,nike
wal,adidas
